service_date,unique_patients,non_hospital_ammount,unique_service_codes,total_racords,total_amount_net
2023-05-19,438,2272448.71,442,1470,2601289.23
2023-05-20,342,2067154.9,411,1220,2236012.76
2023-05-21,267,1411869.07,308,968,1526915.21
2023-05-22,449,2580703.49,402,1518,2782969.49
2023-05-23,502,2809540.66,431,1751,3004104.27
2023-05-24,475,2781699.98,465,1673,3050292.46
2023-05-25,472,2544749.62,416,1598,2818618.75
2023-05-26,452,2534391.45,424,1455,2767178.4
2023-05-27,367,2211011.66,345,1235,2244271.56
2023-05-28,259,1490682.26,269,921,1517935.87
2023-05-29,480,2903879.97,416,1578,2952856.85
2023-05-30,480,2608396.33,364,1465,2645967.17
2023-05-31,480,2927125.85,389,1608,3064421.34
2023-06-01,458,2637319.57,430,1633,2880629.12
2023-06-02,461,2701445.67,435,1674,3014191.15
2023-06-03,370,2385367.03,434,1432,2471800.64
2023-06-04,281,1424977.34,288,922,1480809.89
2023-06-05,450,2641319.44,400,1649,2858151.32
2023-06-06,449,2711182.33,443,1886,3000162.18
2023-06-07,448,2646202.66,456,1586,2923746.72
2023-06-08,443,2441266.35,446,1605,2721466.89
2023-06-09,409,2329538.26,433,1538,2556425.08
2023-06-10,315,2024655.98,389,1262,2160339.18
2023-06-11,252,1375637.83,284,889,1470023.51
2023-06-12,281,1625381.36,308,978,1705796.04
2023-06-13,483,2806977.35,458,1667,3025702.85
2023-06-14,512,3057648.85,443,1791,3249377.62
2023-06-15,511,2891962.48,497,1836,3165485.91
2023-06-16,449,2549147.01,418,1646,2892178.83
2023-06-17,334,2088759.8,380,1232,2189718.08
2023-06-18,249,1340036.8,300,900,1430083.63
