service_date,unique_patients,hospital_ammount,non_hospital_ammount,hospital_unique_patients,unique_service_codes,high_cost_proportion,service_code_hhi,mean_ammount,total_racords,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,EMA_7,EMA_14,total_amount_net
2022-03-14,416,231426.4,2395084.09,10,415,0.2581274382314694,0.007207949120757,1707.744141742523,1538,2023263.9939040889,1971836.1546637183,2044330.6925138298,2226646.8642857145,2207450.9935714286,2266027.8093172903,2206981.4326376095,2626510.49
2022-03-15,415,247458.91,2325292.96,11,401,0.2397302268546903,0.007619463633968,1577.4076456161863,1631,2425428.3246346964,1748322.6331091248,2072329.1201931154,2408283.4757142854,2234195.9850000003,2342708.824531541,2255752.052327799,2572751.87
2022-03-16,420,170068.38999999998,2670588.94,13,396,0.2711550339715874,0.0073307210049287,1754.5752501544164,1619,2523644.021544899,2008525.4687394327,2137100.633545192,2452815.7885714285,2263630.6271428573,2467195.95095171,2333741.124610387,2840657.33
2022-03-17,418,170219.68,2426908.64,12,386,0.2613561553653719,0.0074444354394479,1709.7618959842,1519,2734986.227181633,2166755.789159628,2219515.494333968,2469088.915714286,2264112.4885714287,2499679.043224165,2368860.081531792,2597128.32
2022-03-18,435,155653.02,2517405.37,9,425,0.24875,0.0076828125,1670.66149375,1600,2643080.9557272107,2279621.1894397554,2282805.7513251333,2493046.972857143,2271644.3850000002,2543023.879928515,2409420.520829152,2673058.39
2022-03-19,402,50803.99,2359705.3,4,356,0.2647671994440583,0.0085530595381994,1675.1280681028493,1439,2663065.9119090703,2278184.162959837,2263682.889855615,2512361.1414285717,2288278.617857143,2509895.2324404297,2409565.692114194,2410509.29
2022-03-20,285,50313.93,1827136.0,3,329,0.2215619694397283,0.0092643570149976,1593.7605517826826,1178,2494694.8306363565,2140760.2086398895,2150631.6096902355,2514009.3742857142,2305103.5464285715,2351783.9068090017,2338616.050326942,1877449.93
2022-03-21,428,167526.4,2503582.52,7,369,0.2724184782608695,0.0075605136460302,1814.6120380434784,1472,2083198.2302121187,2302676.9690932613,2071128.8485398244,2520380.5785714285,2373513.7214285717,2431615.1601148252,2382948.905984898,2671108.92
2022-03-22,433,207219.9,2724843.12,10,429,0.2402885682574916,0.0074193059629145,1627.1159933407323,1802,2475138.690070706,2392701.936062175,1931159.1529546133,2571710.742857143,2489997.1092857146,2556727.125095609,2456164.798243413,2932063.02
2022-03-23,464,224964.31,2844927.52,13,422,0.2512396694214876,0.0075340937549803,1691.4004573002755,1815,2779754.9100235687,2542020.400708117,2039844.9765409897,2604458.5285714283,2528637.1585714286,2685018.3013290055,2537995.7249710257,3069891.83
2022-03-24,489,260759.51,2794275.75,17,430,0.2613572630398205,0.0071658893475457,1713.424150308469,1783,2973179.5233411896,2560389.707138745,2120457.9727881197,2669873.805714286,2569481.3607142856,2777522.5410007006,2606934.8084802586,3055035.26
2022-03-25,469,279458.38,2805886.81,16,453,0.2798833819241982,0.0065180324524645,1799.0350962099126,1715,3027750.014447063,2597945.9347591638,2190438.70653503,2728771.9199999995,2610909.4464285714,2854478.203252988,2670723.24333767,3085345.19
2022-03-26,410,108119.98,2371738.74,7,334,0.2563417890520694,0.0088752069960659,1655.4464085447264,1498,3066146.798149021,2535467.053172776,2205869.8714048276,2738678.9814285715,2625520.0614285716,2760823.3324374934,2645274.507457758,2479858.72
2022-03-27,277,70137.93000000001,1553492.92,5,296,0.2395273899033297,0.008942488183017,1743.9643931256714,931,2675288.079383007,2316128.012115184,2144059.4018990383,2702419.112857143,2608214.243571429,2476525.2118230024,2509054.7372159334,1623630.85
2022-03-28,501,255684.17,3049336.91,10,452,0.2752867570385818,0.0073389577473058,1723.1601042752868,1918,1974183.2597943358,2434454.981410123,2231777.783850041,2792977.992857143,2656679.285714286,2683649.178870048,2615183.998799729,3305021.08
2022-03-29,465,277744.21,2763325.02,16,411,0.2613510520487264,0.0074398246769412,1683.8700055370985,1806,2861408.4732647785,2600324.3276067483,2293773.0735687753,2808550.3085714285,2690130.5257142857,2773004.1916534407,2671968.8891419237,3041069.23
2022-03-30,480,238844.99,2998816.9,12,457,0.2723085780080598,0.0066555768006366,1863.9389119170985,1737,2981182.31108826,2756846.8284044988,2393206.576480566,2832517.46,2718487.994285714,2889168.616240963,2747394.844591786,3237661.89
2022-03-31,516,181750.72,2919065.7,13,435,0.257871878393051,0.0073581682564271,1683.396536373507,1842,3152168.6970294197,2856242.9722696654,2430283.2576520634,2839057.625714286,2754465.7157142856,2942080.567181024,2794517.8415175388,3100816.42
2022-04-01,454,242758.77,2538099.6,15,444,0.2446743761412051,0.0064661343852023,1692.54922093731,1643,3117933.845676473,2932610.378179777,2474424.19132405,2795559.5085714282,2762165.714285714,2901775.0178855956,2792696.57462216,2780858.37
2022-04-02,382,91122.54,2378360.77,8,372,0.2568493150684932,0.0078654531807093,1691.4269246575343,1460,2893216.8618921577,2781693.158786518,2462803.3000626843,2794077.3071428575,2766378.144285714,2793702.0909138503,2749601.390102721,2469483.31
